GROUP,Latitude,Longitude,DENSITY,LnDENSITY,npp,biodiv,pathos,npp2,biodiv2,ID,DivDiff
Clallam,47.95,-123.55,0.7,-0.15490196,990.0564197,0.27241311,-0.913745491,980211.7142,742.09,HG,0.00758689
Makah,48.22,-124.58,1.23,0.089905111,1300.341814,0.257078561,-0.915165114,1690888.833,660.89,HG,0.022921439
Haisla,53.5,-128.42,0.191,-0.718966633,912.7758266,0.204175008,-0.951198652,833159.7096,416.87,HG,0.075824992
Kwakiutl,50.42,-126.67,0.687,-0.163043263,997.9658236,0.195023129,-0.932044257,995935.7851,380.34,HG,0.084976871
Tsimshim,54,-129.58,0.419,-0.377785977,990.0564197,0.191729204,-0.951615164,980211.7142,367.6,HG,0.088270796
Haida,53.54,-132.29,0.9709,-0.012825499,1145.339897,0.145545797,-0.945220835,1311803.48,211.84,HG,0.134454203
Bella-coola,52.32,-126.58,0.13,-0.886056648,735.4770841,0.210877461,-0.948525887,540926.5412,444.69,HG,0.069122539
Tlingit,57,-133.59,0.1142,-0.942333896,997.9658236,0.137764916,-0.953673676,995935.7851,189.79,HG,0.142235084
Gitksan,55.65,-128.06,0.2358,-0.627456199,796.5439686,0.177770565,-0.959616086,634482.2939,316.02,HG,0.102229435
Konaig,57.93,-153.16,0.306,-0.514278574,868.076536,0.123940767,-0.930377941,753556.8724,153.61,HG,0.156059233
Chugash,61.21,-147.61,0.0648,-1.188424994,513.7474728,0.12473965,-0.941778233,263936.4658,155.6,HG,0.15526035
Aleut,55,-162.85,0.5465,-0.262409834,810.5456344,0.14084653,-0.906884834,656984.2254,198.38,HG,0.13915347
Sinkaietk,48.78,-119.56,0.1451,-0.838332588,574.2705369,0.261236973,-0.939766881,329786.6496,682.45,HG,0.018763027
Alcatcho,51.32,-124.02,0.075,-1.124938737,709.3726625,0.209360648,-0.945009503,503209.5743,438.32,HG,0.070639352
Chilcotin,51.68,-124,0.1152,-0.938547521,682.9002667,0.187505642,-0.949104506,466352.7743,351.58,HG,0.092494358
Carrier,53.33,-123.15,0.0759,-1.119758224,817.6043111,0.188497724,-0.959181105,668476.8095,355.31,HG,0.091502276
Tanaina,61.74,-150.45,0.0486,-1.313363731,702.9474189,0.129140732,-0.936475322,494135.0737,166.77,HG,0.150859268
